,index,age,Emp_Tenure_Years,Tenure_with_Bank,region_code,NetBanking_Flag,Avg_days_between_transaction,cc_cons_apr,dc_cons_apr,cc_cons_may,dc_cons_may,cc_cons_jun,dc_cons_jun,cc_count_apr,cc_count_may,cc_count_jun,dc_count_apr,dc_count_may,dc_count_jun,card_lim,personal_loan_active,vehicle_loan_active,personal_loan_closed,vehicle_loan_closed,investment_1,investment_2,investment_3,investment_4,debit_amount_apr,credit_amount_apr,debit_count_apr,credit_count_apr,max_credit_amount_apr,debit_amount_may,credit_amount_may,credit_count_may,debit_count_may,max_credit_amount_may,debit_amount_jun,credit_amount_jun,credit_count_jun,debit_count_jun,max_credit_amount_jun,emi_active,account_type_saving,gender_M,Income_LOW,Income_MEDIUM,pred_cc_cons
0,15000,37.0,11.9,4,575.0,1,16.0,2795.45,1290.0,6141.05,676.5,9146.1,15479.0,4.0,10.0,4.0,47.0,56.0,6,125000.0,1,1,1.0,1,13.8,376600.5,1633.0,-5715.49022999999,27646.84,44341.0,16.0,36.0,24485.0,23512.67,41755.0,24.0,20.0,9750.0,30527.88,31271.0,3,12.0,25945.92,1170.49,0,1,0,1,142333.5
1,15001,33.0,7.800000000000001,6,394.0,0,19.0,29405.13,1640.0,1670.0,2463.92,10947.5,956.0,3.0,10.0,4.0,50.0,38.0,31,59000.0,1,1,1.0,1,101891.25,470000.0,891.0,26601.0,32247.25,21946.0,42.0,5.0,3375.0,15049.44,130299.0,43.0,40.0,16967.0,14342.83,16582.0,6,39.0,12214.0,16447.45,0,1,0,1,161153.83333333334
2,15002,53.0,33.0,10,324.0,1,15.0,5985.2,6189.0,2696.09,766.0,716.0,4133.22,7.0,30.0,5.0,24.0,27.0,2,49999.0,1,1,1.0,1,53374.97,674291.83,54101.0,2557.0,63169.0,36616.5,41.0,6.0,14950.0,133659.0,40422.0,42.0,35.0,36398.0,32503.16,33539.54,5,9.0,13215.0,2622.28,0,1,1,0,183914.33333333334
3,15003,33.0,7.800000000000001,5,370.0,1,7.0,2105.93,18225.0,34763.56,167.0,4260.27,20185.0,1.0,99.0,71.0,5.0,1.0,11,520000.0,1,1,1.0,1,9118.35,470000.0,5905.0,5464.0,39442.8,43173.38,46.0,1.0,235844.0,99686.03,48148.0,3.0,5.0,97825.0,93572.42,109429.75,21,0.0,72317.0,340.79,0,1,0,1,156808.2125
4,15004,62.0,12.600000000000001,9,505.0,1,3.0,3269.0,3532.0,3158.4,2699.77,3373.48,5120.0,2.0,10.0,47.0,5.0,25.0,1,152000.0,1,1,1.0,1,10535967.5,101.24,130000.0,1332.0,8937.0,15232.0,11.0,1.0,14495.0,190374.25,25926.0,70.0,75.0,27936.0,19011.5,41401.0,6,35.0,42344.0,2812.2,0,1,1,0,140353.25
5,15005,30.0,8.0,7,454.0,1,12.0,11495.51,2701.0,3957.24,1395.0,36608.5,2296.0,2.0,23.0,35.0,21.0,62.0,13,276000.0,1,1,1.0,1,96218.53,1155000.0,54101.0,-5998.43994,81568.39,9418.0,5.0,6.0,22599.0,46739.3,80813.0,2.0,8.0,27906.0,23978.5,32248.75,9,63.0,24986.0,291.16,1,1,1,0,196233.08333333334
6,15006,33.0,9.1,2,796.0,0,12.0,3837.39,10809.0,122756.08819999857,6204.0,3947.37,6288.0,5.0,11.0,50.0,21.0,17.0,3,39000.0,1,1,1.0,1,1895.04,185097.6,15654.0,20324.0,90521.16,109318.16,11.0,1.0,117591.0,16097.11,45735.0,2.0,20.0,11388.0,14789.48,33319.0,5,32.0,45228.0,4786.4,0,1,0,1,173795.0825
7,15007,222.0,121.80000000000001,3,575.0,1,14.0,22928.5,6331.49,9974.84,2699.0,4578.0,704.0,531.0,1.0,74.0,7.0,3.0,12,393000.0,1,1,1.0,1,27316.5,78050.0,13873.0,5730.0,46865.63,41599.0,69.0,19.0,124720.0,30674.96,15929.0,3.0,20.0,69056.0,25376.75,81303.01,22,58.0,39930.0,8186.99,0,1,1,0,127007.91666666667
8,15008,37.0,11.9,4,623.0,1,2.0,2698.0,727.0,5264.5,5528.0,11310.5,627.44,26.0,9.0,9.0,1.0,2.0,17,381000.0,1,1,1.0,1,272677.25,400000.0,3570.0,0.0,36117.25,28601.0,77.0,33.0,57417.0,8299.0,36959.0,47.0,13.0,15700.0,22579.57,12317.0,6,12.0,63300.0,54632.6,1,1,0,1,160999.91666666666
9,15009,34.0,11.200000000000001,1,233.0,1,17.0,6772.78,332.0,3343.56,8650.56,3672.5,4695.52,16.0,4.0,4.0,1.0,2.0,1,87000.0,1,1,1.0,1,21511.8,100000.0,4458.0,-5942.0,33792.55,98108.0,2.0,36.0,52341.0,18942.0,182908.0,47.0,11.0,77764.0,178334.88,111699.0,1,6.0,24559.0,3796.29,0,1,0,1,166942.75
